run,seed,1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,284
2,588,0.1115,0.9105,0.951,0.951,0.9443,0.9493,0.9476,0.9527,0.9561,0.9628,0.9595,0.9493,0.9611,0.9578,0.9595,0.9595,0.9628,0.9476,0.9578,0.9611,0.9544,0.9628,0.9578,0.9628,0.9595,0.9611,0.9628,0.9628,0.9611,0.9527
2,662,0.098,0.9307,0.9409,0.9341,0.9291,0.9257,0.9324,0.9392,0.9324,0.9291,0.9307,0.9358,0.9341,0.9375,0.9392,0.9392,0.9392,0.9324,0.9358,0.9307,0.9341,0.9392,0.9392,0.9443,0.9409,0.9443,0.951,0.9409,0.9409,0.9392
6,178,0.1267,0.9341,0.951,0.9493,0.9459,0.9459,0.9476,0.951,0.951,0.9476,0.9443,0.9493,0.9459,0.9493,0.9527,0.9493,0.9459,0.9527,0.951,0.951,0.9561,0.9578,0.9561,0.9561,0.9544,0.9544,0.9527,0.9561,0.9527,0.9561
15,305,0.1115,0.9341,0.9595,0.9476,0.9459,0.9544,0.9527,0.9561,0.9595,0.9544,0.9561,0.9527,0.9527,0.9493,0.9578,0.9611,0.9595,0.9578,0.9561,0.9645,0.9595,0.9595,0.9578,0.9578,0.9595,0.9628,0.9443,0.9561,0.9561,0.951
9,423,0.1216,0.9544,0.9459,0.951,0.9544,0.9595,0.9544,0.9527,0.9595,0.9527,0.9476,0.9544,0.951,0.9544,0.9611,0.9611,0.9628,0.9628,0.9611,0.9628,0.9628,0.9595,0.9628,0.9578,0.9611,0.9611,0.9628,0.9611,0.9595,0.9611
18,807,0.1334,0.9459,0.951,0.9628,0.951,0.9527,0.9493,0.951,0.9611,0.9493,0.9544,0.9561,0.9561,0.9527,0.9561,0.9561,0.9578,0.9628,0.9645,0.9645,0.9595,0.9578,0.9595,0.9628,0.9527,0.9544,0.9628,0.9611,0.9611,0.9595
14,726,0.1098,0.9341,0.9324,0.9476,0.9375,0.9426,0.9392,0.9443,0.951,0.951,0.9493,0.9493,0.9443,0.9426,0.9476,0.9426,0.9409,0.9443,0.9426,0.9476,0.9426,0.9493,0.951,0.9426,0.9459,0.9493,0.9459,0.9476,0.9493,0.9443
10,250,0.1064,0.9341,0.9392,0.9443,0.9443,0.9527,0.9476,0.9544,0.9459,0.9493,0.9426,0.9544,0.9561,0.9426,0.9493,0.9459,0.9544,0.9561,0.9493,0.9561,0.9578,0.9578,0.9595,0.9409,0.9426,0.951,0.9443,0.9527,0.9493,0.9561
16,697,0.1115,0.9493,0.951,0.9459,0.9561,0.9527,0.9544,0.9443,0.9561,0.9611,0.9611,0.9595,0.9611,0.9611,0.9595,0.9645,0.9696,0.9713,0.9611,0.9662,0.9662,0.9628,0.9662,0.9645,0.9696,0.9611,0.9611,0.9679,0.9662,0.9645
3,466,0.1081,0.9476,0.9392,0.9426,0.9375,0.9476,0.9459,0.9493,0.9476,0.9392,0.9426,0.9426,0.9459,0.9459,0.9527,0.9544,0.9443,0.9527,0.9527,0.9544,0.9578,0.9595,0.9578,0.9628,0.9662,0.9578,0.9595,0.9611,0.9611,0.9611
7,498,0.0963,0.9409,0.9443,0.9392,0.9443,0.9341,0.9392,0.9358,0.9409,0.9409,0.9443,0.9476,0.9493,0.9476,0.951,0.9476,0.9459,0.9459,0.9544,0.9476,0.9493,0.9459,0.9426,0.9426,0.9392,0.9459,0.9459,0.9493,0.9443,0.9443
13,397,0.1149,0.9155,0.9493,0.9544,0.9459,0.9409,0.9375,0.9476,0.9493,0.9459,0.9459,0.9493,0.9459,0.9476,0.9527,0.9443,0.9493,0.9544,0.9476,0.9527,0.9493,0.9527,0.9544,0.9493,0.9544,0.9476,0.9527,0.951,0.9476,0.9476
12,472,0.1014,0.9206,0.9426,0.951,0.9443,0.9476,0.9544,0.9443,0.9527,0.9493,0.9459,0.9493,0.9476,0.9443,0.9527,0.9493,0.9527,0.9544,0.951,0.9578,0.9578,0.9544,0.9443,0.9459,0.951,0.9561,0.951,0.9595,0.9544,0.9527
