run,seed,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,284,
30,494,0.547,0.8019,0.8598,0.9006,0.9162,0.9034,0.9077,0.9179,0.9312,0.9217,0.912,0.917,0.9243,0.9385,0.9453,0.9404,0.9421,0.9413,0.928,
32,396,0.5414,0.7986,0.8444,0.8547,0.8742,0.8736,0.8914,0.8949,0.9139,0.9158,0.9142,0.9202,0.9098,0.9103,0.9357,0.9349,0.9356,0.9254,0.9379,
31,699,0.5417,0.758,0.8044,0.875,0.8766,0.9027,0.9255,0.8939,0.8876,0.9056,0.8812,0.8989,0.901,0.8877,0.8874,0.9107,0.9015,0.8956,0.9477,
33,514,0.494,0.7275,0.8028,0.8503,0.8812,0.8917,0.9098,0.8934,0.8941,0.884,0.8832,0.8926,0.8865,0.8632,0.896,0.8941,0.9092,0.8996,0.9196,
34,725,0.4937,0.7941,0.8241,0.8642,0.8761,0.8773,0.8875,0.9025,0.885,0.89,0.9026,0.911,0.8994,0.9082,0.896,0.9031,0.912,0.9099,0.9341,
35,124,0.5532,0.7736,0.8783,0.8856,0.8945,0.8937,0.8941,0.8735,0.8831,0.8862,0.8838,0.8979,0.9078,0.9118,0.9172,0.9206,0.9296,0.9332,0.932,
36,477,0.5551,0.7652,0.8458,0.878,0.8849,0.8905,0.9077,0.9104,0.9078,0.8902,0.899,0.919,0.9146,0.9157,0.9121,0.9046,0.9145,0.9152,0.9203,
37,596,0.5232,0.7711,0.8385,0.8932,0.916,0.901,0.9144,0.9154,0.931,0.9404,0.9292,0.9331,0.9238,0.9333,0.9287,0.9374,0.9356,0.9407,0.9369,
38,364,0.5172,0.7608,0.8281,0.841,0.8788,0.8733,0.8712,0.8804,0.8985,0.9039,0.9165,0.9067,0.9046,0.9097,0.9046,0.92,0.9108,0.9034,0.9203,
39,795,0.517,0.755,0.794,0.8257,0.835,0.8331,0.8539,0.8844,0.8645,0.8569,0.8518,0.8512,0.8327,0.8596,0.858,0.8589,0.8643,0.8701,0.8518,
40,751,0.5451,0.7626,0.8372,0.8572,0.8896,0.878,0.8896,0.8822,0.8733,0.9018,0.9031,0.9062,0.9102,0.909,0.9107,0.8991,0.894,0.899,0.9285,
41,900,0.4938,0.7325,0.8301,0.8331,0.8601,0.8629,0.8761,0.8987,0.9143,0.9076,0.9211,0.8996,0.9107,0.8966,0.9014,0.8923,0.8945,0.8961,0.9021,
42,583,0.5488,0.7745,0.8204,0.8665,0.8846,0.8641,0.8695,0.8747,0.8822,0.8692,0.891,0.9026,0.9073,0.9033,0.9057,0.912,0.9033,0.9047,0.9262,
43,321,0.552,0.7253,0.8426,0.86,0.889,0.9013,0.9016,0.8837,0.8894,0.9062,0.885,0.9008,0.9147,0.9175,0.9385,0.9192,0.9212,0.9175,0.9434,
44,200,0.5835,0.8169,0.8463,0.8945,0.9125,0.8953,0.8897,0.9139,0.908,0.9218,0.939,0.9287,0.9305,0.9232,0.9322,0.9175,0.9197,0.9229,0.9392,
45,703,0.5401,0.7972,0.8523,0.8627,0.887,0.8968,0.9058,0.8988,0.8992,0.9082,0.8938,0.9122,0.9064,0.8947,0.8872,0.8926,0.9077,0.917,0.9076,
