run,seed,1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,284
8,111,0.0924,0.8969,0.8943,0.9172,0.9168,0.9276,0.9404,0.9136,0.9043,0.9169,0.914,0.9138,0.9198,0.9239,0.9229,0.9133,0.9218,0.9252,0.9143,0.9149,0.9142,0.9178,0.8923,0.8965,0.9238,0.8983,0.9005,0.9063,0.9018,0.9046
0,70,0.097,0.8809,0.9222,0.8906,0.9032,0.9157,0.9142,0.9206,0.9258,0.932,0.9256,0.9239,0.9234,0.9295,0.9239,0.9321,0.9356,0.9304,0.9328,0.9362,0.9378,0.9343,0.933,0.9337,0.9367,0.9376,0.9313,0.9438,0.9423,0.9412
34,229,0.1053,0.8905,0.8962,0.9081,0.894,0.9047,0.9146,0.9017,0.9291,0.9016,0.9388,0.9071,0.9183,0.9134,0.9143,0.9062,0.9114,0.8967,0.8983,0.8993,0.8959,0.8973,0.9015,0.9008,0.8975,0.8918,0.9029,0.9133,0.91,0.9094
39,237,0.0975,0.9145,0.927,0.915,0.9179,0.9303,0.924,0.9446,0.9343,0.933,0.9325,0.9349,0.9335,0.9319,0.9391,0.9388,0.947,0.9525,0.9483,0.9449,0.9481,0.941,0.9389,0.9385,0.9404,0.9474,0.9325,0.9358,0.9364,0.9403
25,821,0.089,0.9089,0.9159,0.9172,0.9227,0.9302,0.928,0.9325,0.9411,0.9379,0.9377,0.9382,0.9384,0.9422,0.9373,0.9325,0.9211,0.9281,0.9286,0.9274,0.9281,0.9262,0.9241,0.9234,0.9175,0.9266,0.9189,0.9202,0.9232,0.9236
32,408,0.0938,0.9451,0.9456,0.9381,0.9433,0.9382,0.9321,0.945,0.9311,0.946,0.9354,0.9423,0.9424,0.9398,0.9336,0.9509,0.9523,0.9512,0.9507,0.9549,0.9345,0.9332,0.9385,0.9466,0.9408,0.9412,0.9528,0.9539,0.9499,0.9504
21,672,0.1043,0.9102,0.9203,0.9228,0.9422,0.9204,0.9266,0.954,0.9592,0.9623,0.9595,0.9304,0.9241,0.9295,0.93,0.9423,0.9361,0.9331,0.9358,0.9375,0.9428,0.9391,0.9511,0.9459,0.9451,0.9406,0.9508,0.9478,0.9382,0.9382
30,775,0.0994,0.9392,0.9554,0.9626,0.949,0.9471,0.949,0.9465,0.9479,0.9644,0.9452,0.9444,0.9468,0.9589,0.9563,0.9437,0.9424,0.9502,0.9448,0.9402,0.9354,0.9561,0.9631,0.9599,0.9431,0.957,0.9523,0.9501,0.9575,0.9604
29,87,0.0915,0.9072,0.9102,0.9388,0.9417,0.9375,0.913,0.9132,0.905,0.9244,0.9333,0.9177,0.9245,0.9275,0.9312,0.9503,0.9504,0.9329,0.9351,0.9259,0.9254,0.9211,0.9218,0.9209,0.9199,0.9153,0.9193,0.9239,0.915,0.9126
38,897,0.1068,0.8911,0.9218,0.9385,0.9419,0.9051,0.9151,0.9279,0.9324,0.9212,0.929,0.9267,0.9176,0.9205,0.9238,0.9204,0.9178,0.9311,0.9289,0.9252,0.9237,0.9264,0.9281,0.9315,0.932,0.9296,0.9301,0.9294,0.943,0.9388
